DIA,Encuentro,Location,Ciudad EEUU,Estado,TOTAL,Mexico,Extranjeros,Guatemala,Honduras,El Salvador,República Bolivariana de Venezuela,Cuba,Colombia,Nicaragua,China,Ecuador,Haití,India,Brasil,Estado Plurinacional de Bolivia,Bélgica,Perú,Canadá,España,Rumania,Afganistán,Turquía,Federación De Rusia,República Dominicana,Bangladesh,Uzbekistán,Pakistán,Vietnam,Camerún,Trinidad y Tobago,Belice,República Federal Democrática de Nepal,Etiopia,Argentina,Azerbaiyán,República Popular Democrática de Corea,República de Corea,Armenia,Hungría,Reino Unido de Gran Bretaña e Irlanda del Norte,Marruecos,Chile,República Islámica del Irán,República Árabe de Siria,Kosovo,Congo,Nueva Zelandia,Angola,Filipinas,Kazajstan,Ghana,Polonia,Togo,Georgia,Italia,Alemania,Kirguistán,Croacia,Sudán,Sudáfrica,Nigeria,Taiwan (Provincia de China),Panamá,Maldivas,Líbano,Egipto,Uruguay,Iraq,Jordania,Francia,Islas Norfolk,Benin,Somalia,Japón,Ucrania,Jamaica,Fiji,Eslovaquia,Suecia,Belarús,Zimbabwe,República de Moldova,Irlanda,Indonesia,Portugal,Yemen,Suiza,Uganda,Kenia,Otros
02/10/2024,USBP,Rio Grande,Texas,Tamaulipas,241,60,181,54,62,48,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
02/10/2024,USBP,San Diego,California,Baja California,542,110,432,19,1,4,0,0,111,0,49,11,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
02/10/2024,USBP,Tucson,Arizona,Sonora,435,314,121,56,0,0,0,0,1,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
02/10/2024,USBP,Yuma,Arizona,Sonora,31,16,15,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
02/10/2024,OFO,El Paso,Texas,Chihuahua,45,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
02/10/2024,OFO,Laredo,Texas,Tamaulipas,74,65,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
02/10/2024,OFO,San Diego,California,Baja California,105,32,73,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
02/10/2024,OFO,Tucson,Arizona,Sonora,26,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02/10/2024,CBP ONE,El Paso,Texas,Chihuahua,213,21,192,3,5,0,104,38,24,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
02/10/2024,CBP ONE,Laredo,Texas,Tamaulipas,680,98,582,22,53,21,217,132,25,0,0,8,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
