DIA,ESTADO / O.R.,MEXICANOS REPATRIADOS,ADULTOS,MENORES,NNA NO ACOMPAÑADOS,NNA ACOMPAÑADOS,TERRESTRES,VUELOS PRIM,,,,,,
27/10/2024,BAJA CALIFORNIA,125,111,14,9,5,125,0,,,,,,
27/10/2024,CHIHUAHUA,61,37,24,13,11,61,0,,,,,,
27/10/2024,COAHUILA,5,3,2,1,1,5,0,,,,,,
27/10/2024,SONORA,146,106,40,4,36,146,0,,,,,,
27/10/2024,TAMAULIPAS,53,36,17,15,2,53,0,,,,,,
28/10/2024,BAJA CALIFORNIA,171,155,16,6,10,171,0,,,,,,
28/10/2024,CHIHUAHUA,15,2,13,11,2,15,0,,,,,,
28/10/2024,COAHUILA,44,42,2,2,0,44,0,,,,,,
28/10/2024,SONORA,178,133,45,5,40,178,0,,,,,,
28/10/2024,TAMAULIPAS,228,217,11,11,0,228,0,,,,,,
29/10/2024,BAJA CALIFORNIA,148,129,19,6,13,148,0,,,,,,
29/10/2024,CHIHUAHUA,78,63,15,5,10,78,0,,,,,,
29/10/2024,COAHUILA,41,36,5,1,4,41,0,,,,,,
29/10/2024,ESTADO DE MEXICO,499,485,14,0,14,0,499,,,,,,
29/10/2024,SONORA,215,186,29,3,26,215,0,,,,,,
29/10/2024,TAMAULIPAS,132,123,9,7,2,132,0,,,,,,
30/10/2024,BAJA CALIFORNIA,110,82,28,7,21,110,0,,,,,,
30/10/2024,CHIHUAHUA,41,16,25,17,8,41,0,,,,,,
30/10/2024,COAHUILA,38,37,1,1,0,38,0,,,,,,
30/10/2024,ESTADO DE MEXICO,10,10,0,0,0,0,10,,,,,,
30/10/2024,SONORA,317,264,53,5,48,317,0,,,,,,
30/10/2024,TAMAULIPAS,130,111,19,13,6,130,0,,,,,,
31/10/2024,BAJA CALIFORNIA,106,90,16,2,14,106,0,,,,,,
31/10/2024,CHIHUAHUA,60,45,15,12,3,60,0,,,,,,
31/10/2024,COAHUILA,37,35,2,2,0,37,0,,,,,,
31/10/2024,SONORA,271,234,37,3,34,271,0,,,,,,
31/10/2024,TAMAULIPAS,101,81,20,16,4,101,0,,,,,,
01/11/2024,BAJA CALIFORNIA,113,97,16,5,11,113,0,,,,,,
01/11/2024,CHIHUAHUA,36,19,17,15,2,36,0,,,,,,
01/11/2024,COAHUILA,9,3,6,6,0,9,0,,,,,,
01/11/2024,SONORA,259,209,50,7,43,259,0,,,,,,
01/11/2024,TAMAULIPAS,241,230,11,7,4,241,0,,,,,,
02/11/2024,BAJA CALIFORNIA,88,67,21,3,18,88,0,,,,,,
02/11/2024,CHIHUAHUA,32,19,13,9,4,32,0,,,,,,
02/11/2024,COAHUILA,4,3,1,1,0,4,0,,,,,,
02/11/2024,SONORA,323,248,75,5,70,323,0,,,,,,
02/11/2024,TAMAULIPAS,83,73,10,10,0,83,0,,,,,,
03/11/2024,BAJA CALIFORNIA,136,118,18,0,18,136,0,,,,,,
03/11/2024,CHIHUAHUA,53,31,22,15,7,53,0,,,,,,
03/11/2024,COAHUILA,2,0,2,2,0,2,0,,,,,,
03/11/2024,SONORA,114,75,39,3,36,114,0,,,,,,
03/11/2024,TAMAULIPAS,66,60,6,6,0,66,0,,,,,,
04/11/2024,BAJA CALIFORNIA,125,105,20,4,16,125,0,,,,,,
04/11/2024,CHIHUAHUA,52,35,17,12,5,52,0,,,,,,
04/11/2024,COAHUILA,23,22,1,1,0,23,0,,,,,,
04/11/2024,SONORA,167,132,35,3,32,167,0,,,,,,
04/11/2024,TAMAULIPAS,129,124,5,3,2,129,0,,,,,,
05/11/2024,BAJA CALIFORNIA,148,133,15,1,14,148,0,,,,,,
05/11/2024,CHIHUAHUA,56,40,16,7,9,56,0,,,,,,
05/11/2024,COAHUILA,27,20,7,5,2,27,0,,,,,,
05/11/2024,ESTADO DE MEXICO,477,453,24,0,24,0,477,,,,,,
05/11/2024,SONORA,210,158,52,6,46,210,0,,,,,,
05/11/2024,TAMAULIPAS,91,75,16,9,7,91,0,,,,,,
06/11/2024,BAJA CALIFORNIA,87,71,16,1,15,87,0,,,,,,
06/11/2024,CHIHUAHUA,37,17,20,19,1,37,0,,,,,,
06/11/2024,COAHUILA,14,12,2,1,1,14,0,,,,,,
06/11/2024,SONORA,211,170,41,7,34,211,0,,,,,,
06/11/2024,TAMAULIPAS,89,77,12,8,4,89,0,,,,,,
07/11/2024,BAJA CALIFORNIA,107,102,5,2,3,107,0,,,,,,
07/11/2024,CHIHUAHUA,29,19,10,8,2,29,0,,,,,,
07/11/2024,COAHUILA,23,18,5,0,5,23,0,,,,,,
07/11/2024,SONORA,297,224,73,6,67,297,0,,,,,,
07/11/2024,TAMAULIPAS,190,172,18,12,6,190,0,,,,,,
08/11/2024,BAJA CALIFORNIA,93,79,14,4,10,93,0,,,,,,
08/11/2024,CHIHUAHUA,50,32,18,8,10,50,0,,,,,,
08/11/2024,COAHUILA,16,9,7,4,3,16,0,,,,,,
08/11/2024,SONORA,208,166,42,6,36,208,0,,,,,,
08/11/2024,TAMAULIPAS,224,219,5,5,0,224,0,,,,,,
09/11/2024,BAJA CALIFORNIA,65,53,12,2,10,65,0,,,,,,
09/11/2024,CHIHUAHUA,55,37,18,17,1,55,0,,,,,,
09/11/2024,COAHUILA,2,1,1,1,0,2,0,,,,,,
09/11/2024,SONORA,293,254,39,6,33,293,0,,,,,,
09/11/2024,TAMAULIPAS,75,70,5,5,0,75,0,,,,,,
10/11/2024,BAJA CALIFORNIA,65,56,9,4,5,65,0,,,,,,
10/11/2024,CHIHUAHUA,35,12,23,14,9,35,0,,,,,,
10/11/2024,COAHUILA,2,0,2,2,0,2,0,,,,,,
10/11/2024,SONORA,132,106,26,3,23,132,0,,,,,,
10/11/2024,TAMAULIPAS,26,18,8,8,0,26,0,,,,,,
11/11/2024,BAJA CALIFORNIA,82,75,7,3,4,82,0,,,,,,
11/11/2024,CHIHUAHUA,42,33,9,8,1,42,0,,,,,,
11/11/2024,COAHUILA,32,25,7,5,2,32,0,,,,,,
11/11/2024,SONORA,89,70,19,3,16,89,0,,,,,,
11/11/2024,TAMAULIPAS,113,94,19,11,8,113,0,,,,,,
12/11/2024,BAJA CALIFORNIA,89,76,13,6,7,89,0,,,,,,
12/11/2024,CHIHUAHUA,57,45,12,7,5,57,0,,,,,,
12/11/2024,COAHUILA,35,31,4,4,0,35,0,,,,,,
12/11/2024,ESTADO DE MEXICO,511,493,18,0,18,0,511,,,,,,
12/11/2024,SONORA,196,164,32,7,25,196,0,,,,,,
12/11/2024,TAMAULIPAS,144,138,6,6,0,144,0,,,,,,
13/11/2024,BAJA CALIFORNIA,60,52,8,2,6,60,0,,,,,,
13/11/2024,CHIHUAHUA,52,34,18,9,9,52,0,,,,,,
13/11/2024,COAHUILA,56,50,6,3,3,56,0,,,,,,
13/11/2024,SONORA,248,193,55,6,49,248,0,,,,,,
13/11/2024,TAMAULIPAS,99,80,19,15,4,99,0,,,,,,
14/11/2024,BAJA CALIFORNIA,62,55,7,2,5,62,0,,,,,,
14/11/2024,CHIHUAHUA,69,55,14,11,3,69,0,,,,,,
14/11/2024,COAHUILA,55,50,5,2,3,55,0,,,,,,
14/11/2024,SONORA,189,164,25,4,21,189,0,,,,,,
14/11/2024,TAMAULIPAS,98,80,18,14,4,98,0,,,,,,
15/11/2024,BAJA CALIFORNIA,76,67,9,2,7,76,0,,,,,,
15/11/2024,CHIHUAHUA,58,34,24,18,6,58,0,,,,,,
15/11/2024,COAHUILA,31,27,4,4,0,31,0,,,,,,
15/11/2024,SONORA,245,176,69,11,58,245,0,,,,,,
15/11/2024,TAMAULIPAS,248,240,8,8,0,248,0,,,,,,
16/11/2024,BAJA CALIFORNIA,62,54,8,5,3,62,0,,,,,,
16/11/2024,CHIHUAHUA,55,37,18,14,4,55,0,,,,,,
16/11/2024,COAHUILA,1,0,1,1,0,1,0,,,,,,
16/11/2024,SONORA,224,215,9,2,7,224,0,,,,,,
16/11/2024,TAMAULIPAS,160,147,13,8,5,160,0,,,,,,
17/11/2024,BAJA CALIFORNIA,77,58,19,6,13,77,0,,,,,,
17/11/2024,CHIHUAHUA,39,31,8,7,1,39,0,,,,,,
17/11/2024,COAHUILA,3,0,3,3,0,3,0,,,,,,
17/11/2024,SONORA,79,53,26,5,21,79,0,,,,,,
17/11/2024,TAMAULIPAS,56,44,12,10,2,56,0,,,,,,
18/11/2024,BAJA CALIFORNIA,82,70,12,9,3,82,0,,,,,,
18/11/2024,CHIHUAHUA,56,22,34,22,12,56,0,,,,,,
18/11/2024,COAHUILA,6,4,2,2,0,6,0,,,,,,
18/11/2024,SONORA,70,47,23,5,18,70,0,,,,,,
18/11/2024,TAMAULIPAS,250,232,18,11,7,250,0,,,,,,
19/11/2024,BAJA CALIFORNIA,151,138,13,5,8,151,0,,,,,,
19/11/2024,CHIHUAHUA,29,15,14,11,3,29,0,,,,,,
19/11/2024,COAHUILA,43,41,2,2,0,43,0,,,,,,
19/11/2024,ESTADO DE MEXICO,532,509,23,0,23,0,532,,,,,,
19/11/2024,SONORA,245,195,50,8,42,245,0,,,,,,
19/11/2024,TAMAULIPAS,158,144,14,13,1,158,0,,,,,,
20/11/2024,BAJA CALIFORNIA,78,71,7,3,4,78,0,,,,,,
