DIA,ESTADO / O.R.,NACIONALIDAD,Documentos Migratorios,Tarjeta de Residente Permanente,Tarjeta de Residente Temporal,Tarjeta de Residente Temporal Estudiante,Tarjeta de Visitante por razones humanitarias,Tarjeta de Visitante con fines de adopción,Tarjeta de Visitante Regional,Tarjeta de Visitante Trabajador Fronterizo
05/03/2025,TAMAULIPAS,República de Corea, 2 , - , 2 , - , - , - , - , - 
05/03/2025,TLAXCALA,Perú, 2 , - , 2 , - , - , - , - , - 
05/03/2025,VERACRUZ,Colombia, 2 , - , 2 , - , - , - , - , - 
05/03/2025,VERACRUZ,Cuba, 3 , - , 3 , - , - , - , - , - 
05/03/2025,VERACRUZ,España, 2 , - , 2 , - , - , - , - , - 
05/03/2025,VERACRUZ,Honduras, 1 , 1 , - , - , - , - , - , - 
05/03/2025,VERACRUZ,Reino Unido de Gran Bretaña e Irlanda del Norte, 1 , 1 , - , - , - , - , - , - 
05/03/2025,YUCATAN,Alemania, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Argentina, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Belice, 2 , - , 1 , 1 , - , - , - , - 
05/03/2025,YUCATAN,Brasil, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Canadá, 4 , - , 4 , - , - , - , - , - 
05/03/2025,YUCATAN,Cuba, 5 , - , 5 , - , - , - , - , - 
05/03/2025,YUCATAN,Egipto, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,El Salvador, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Estados Unidos de América, 5 , 1 , 4 , - , - , - , - , - 
05/03/2025,YUCATAN,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Nicaragua, 1 , 1 , - , - , - , - , - , - 
05/03/2025,YUCATAN,Nigeria, 1 , 1 , - , - , - , - , - , - 
05/03/2025,YUCATAN,Panamá, 2 , 1 , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Perú, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,Reino Unido de Gran Bretaña e Irlanda del Norte, 2 , - , 2 , - , - , - , - , - 
05/03/2025,YUCATAN,República Bolivariana de Venezuela, 1 , - , 1 , - , - , - , - , - 
05/03/2025,YUCATAN,República Islámica del Irán, 1 , - , 1 , - , - , - , - , - 
05/03/2025,ZACATECAS,Japón, 2 , 1 , 1 , - , - , - , - , - 
05/03/2025,ZACATECAS,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,Australia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,China, 5 , - , 5 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,Colombia, 2 , - , 2 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,España, 1 , 1 , - , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,Filipinas, 1 , - , 1 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,Haití, 1 , - , 1 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,India, 1 , - , 1 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,Japón, 4 , - , 4 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,República Bolivariana de Venezuela, 1 , 1 , - , - , - , - , - , - 
06/03/2025,AGUASCALIENTES,República de Corea, 1 , - , 1 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Canadá, 2 , - , 2 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Chile, 1 , - , 1 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,China, 3 , 3 , - , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Colombia, 2 , 2 , - , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Ecuador, 1 , - , 1 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,El Salvador, 2 , 2 , - , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Estados Unidos de América, 13 , 7 , 6 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Haití, 5 , 2 , 3 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Honduras, 1 , - , 1 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,India, 4 , - , 4 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Japón, 2 , - , 2 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA,Reino Unido de Gran Bretaña e Irlanda del Norte, 1 , - , 1 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Argentina, 5 , 1 , 4 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Canadá, 7 , 4 , 3 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,China, 1 , 1 , - , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Colombia, 3 , - , 3 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Costa Rica, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Cuba, 2 , - , 2 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,España, 3 , 1 , 2 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Estados Unidos de América, 12 , 3 , 9 , - , - , - , - , - 
06/03/2025,BAJA CALIFORNIA SUR,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CAMPECHE,Colombia, 2 , 2 , - , - , - , - , - , - 
06/03/2025,CAMPECHE,Croacia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CAMPECHE,Cuba, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CAMPECHE,Haití, 2 , 2 , - , - , - , - , - , - 
06/03/2025,CAMPECHE,Italia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CAMPECHE,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CAMPECHE,República Bolivariana de Venezuela, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CHIAPAS,Chile, 2 , 2 , - , - , - , - , - , - 
06/03/2025,CHIAPAS,China, 2 , 2 , - , - , - , - , - , - 
06/03/2025,CHIAPAS,Colombia, 4 , 1 , - , 3 , - , - , - , - 
06/03/2025,CHIAPAS,Cuba, 28 , 21 , - , - , 7 , - , - , - 
06/03/2025,CHIAPAS,El Salvador, 12 , 10 , - , - , - , - , 2 , - 
06/03/2025,CHIAPAS,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CHIAPAS,Guatemala, 198 , 10 , - , - , 4 , - , 134 , 50 
06/03/2025,CHIAPAS,Haití, 3 , 3 , - , - , - , - , - , - 
06/03/2025,CHIAPAS,Honduras, 38 , 36 , - , - , 2 , - , - , - 
06/03/2025,CHIAPAS,Nicaragua, 1 , 1 , - , - , - , - , - , - 
06/03/2025,CHIAPAS,Perú, 3 , 3 , - , - , - , - , - , - 
06/03/2025,CHIAPAS,República Bolivariana de Venezuela, 3 , 3 , - , - , - , - , - , - 
06/03/2025,CHIHUAHUA,China, 4 , - , 4 , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Colombia, 5 , - , 5 , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Cuba, 2 , - , 2 , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Estados Unidos de América, 2 , - , 2 , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Filipinas, 3 , - , 3 , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Haití, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Honduras, 1 , 1 , - , - , - , - , - , - 
06/03/2025,CHIHUAHUA,Pakistán, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Alemania, 2 , - , 2 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Argentina, 19 , 3 , 16 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Australia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Austria, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Belarús, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Bélgica, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Brasil, 7 , 1 , 6 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Chile, 3 , - , 3 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,China, 20 , 8 , 12 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Colombia, 28 , 3 , 24 , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Costa Rica, 2 , - , 1 , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Cuba, 15 , 6 , 9 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Dinamarca, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Ecuador, 7 , - , 5 , 2 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,El Salvador, 3 , - , 1 , 2 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,España, 16 , 3 , 11 , 2 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Estado Plurinacional de Bolivia, 3 , - , 1 , 2 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Estados Unidos de América, 8 , 1 , 7 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Francia, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Ghana, 1 , 1 , - , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Guatemala, 4 , - , 4 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Honduras, 3 , 2 , - , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,India, 2 , - , 2 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Indonesia, 2 , - , 2 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Italia, 5 , 2 , 3 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Japón, 3 , - , 3 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Mongolia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Nicaragua, 3 , - , 2 , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Nueva Zelandia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Países Bajos, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Pakistán, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Panamá, 1 , - , - , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Perú, 9 , 2 , 7 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Portugal, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Reino Unido de Gran Bretaña e Irlanda del Norte, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,República Bolivariana de Venezuela, 15 , 7 , 7 , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,República de Corea, 7 , 3 , 4 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,República Democrática del Congo, 1 , - , - , 1 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,República Dominicana, 2 , - , - , 2 , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Suiza, 1 , - , 1 , - , - , - , - , - 
06/03/2025,CIUDAD DE MEXICO,Uruguay, 4 , 2 , 1 , 1 , - , - , - , - 
06/03/2025,COAHUILA,Brasil, 1 , 1 , - , - , - , - , - , - 
06/03/2025,COAHUILA,China, 2 , - , 2 , - , - , - , - , - 
06/03/2025,COAHUILA,Colombia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,COAHUILA,Cuba, 1 , - , 1 , - , - , - , - , - 
06/03/2025,COAHUILA,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
06/03/2025,COAHUILA,Nicaragua, 2 , - , 2 , - , - , - , - , - 
06/03/2025,COAHUILA,República de Corea, 1 , 1 , - , - , - , - , - , - 
06/03/2025,COLIMA,Canadá, 1 , 1 , - , - , - , - , - , - 
06/03/2025,COLIMA,China, 2 , - , 2 , - , - , - , - , - 
06/03/2025,DURANGO,Colombia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,DURANGO,Cuba, 1 , 1 , - , - , - , - , - , - 
06/03/2025,DURANGO,El Salvador, 1 , 1 , - , - , - , - , - , - 
06/03/2025,DURANGO,Honduras, 1 , 1 , - , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Alemania, 1 , - , 1 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Brasil, 2 , - , 2 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Chile, 3 , 2 , 1 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Colombia, 11 , 3 , 8 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Costa Rica, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Cuba, 3 , 1 , 2 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Guatemala, 1 , - , - , 1 , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Haití, 4 , 4 , - , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,República Bolivariana de Venezuela, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,ESTADO DE MEXICO,Uruguay, 1 , 1 , - , - , - , - , - , - 
06/03/2025,GUANAJUATO,Argentina, 2 , - , 2 , - , - , - , - , - 
06/03/2025,GUANAJUATO,Colombia, 2 , 2 , - , - , - , - , - , - 
06/03/2025,GUANAJUATO,Cuba, 2 , 2 , - , - , - , - , - , - 
06/03/2025,GUANAJUATO,El Salvador, 1 , 1 , - , - , - , - , - , - 
06/03/2025,GUANAJUATO,Estados Unidos de América, 8 , 3 , 5 , - , - , - , - , - 
06/03/2025,GUANAJUATO,Japón, 5 , 2 , 3 , - , - , - , - , - 
06/03/2025,GUANAJUATO,Panamá, 1 , - , - , 1 , - , - , - , - 
06/03/2025,GUANAJUATO,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,GUERRERO,Cuba, 6 , 1 , - , - , 5 , - , - , - 
06/03/2025,GUERRERO,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
06/03/2025,HIDALGO,Brasil, 1 , - , 1 , - , - , - , - , - 
06/03/2025,HIDALGO,Chile, 2 , 2 , - , - , - , - , - , - 
06/03/2025,HIDALGO,China, 1 , - , 1 , - , - , - , - , - 
06/03/2025,HIDALGO,Colombia, 3 , - , 3 , - , - , - , - , - 
06/03/2025,HIDALGO,Francia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Alemania, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Argentina, 3 , - , 3 , - , - , - , - , - 
06/03/2025,JALISCO,Bélgica, 1 , 1 , - , - , - , - , - , - 
06/03/2025,JALISCO,Brasil, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Canadá, 5 , - , 5 , - , - , - , - , - 
06/03/2025,JALISCO,Chile, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Colombia, 5 , - , 5 , - , - , - , - , - 
06/03/2025,JALISCO,Costa Rica, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Ecuador, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Eslovaquia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,JALISCO,España, 1 , 1 , - , - , - , - , - , - 
06/03/2025,JALISCO,Estado Plurinacional de Bolivia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,JALISCO,Estados Unidos de América, 12 , 5 , 7 , - , - , - , - , - 
06/03/2025,JALISCO,Honduras, 3 , 3 , - , - , - , - , - , - 
06/03/2025,JALISCO,Nicaragua, 1 , - , - , 1 , - , - , - , - 
06/03/2025,JALISCO,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,República Bolivariana de Venezuela, 5 , 3 , 2 , - , - , - , - , - 
06/03/2025,JALISCO,República de Corea, 1 , - , 1 , - , - , - , - , - 
06/03/2025,JALISCO,Singapur, 1 , 1 , - , - , - , - , - , - 
06/03/2025,JALISCO,Ucrania, 1 , - , 1 , - , - , - , - , - 
06/03/2025,MICHOACAN,Colombia, 2 , - , 2 , - , - , - , - , - 
06/03/2025,MICHOACAN,Cuba, 7 , - , 1 , - , 6 , - , - , - 
06/03/2025,MORELOS,Argentina, 1 , 1 , - , - , - , - , - , - 
06/03/2025,MORELOS,Colombia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,MORELOS,República Bolivariana de Venezuela, 1 , 1 , - , - , - , - , - , - 
06/03/2025,NAYARIT,Argentina, 2 , - , 2 , - , - , - , - , - 
06/03/2025,NAYARIT,Canadá, 12 , - , 12 , - , - , - , - , - 
06/03/2025,NAYARIT,Cuba, 1 , - , 1 , - , - , - , - , - 
06/03/2025,NAYARIT,Estados Unidos de América, 11 , 5 , 6 , - , - , - , - , - 
06/03/2025,NAYARIT,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,OAXACA,Canadá, 5 , 2 , 3 , - , - , - , - , - 
06/03/2025,OAXACA,Colombia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,OAXACA,Cuba, 3 , - , - , - , 3 , - , - , - 
06/03/2025,OAXACA,El Salvador, 1 , 1 , - , - , - , - , - , - 
06/03/2025,PUEBLA,Argentina, 3 , 1 , 2 , - , - , - , - , - 
06/03/2025,PUEBLA,Bélgica, 1 , - , 1 , - , - , - , - , - 
06/03/2025,PUEBLA,Brasil, 1 , - , 1 , - , - , - , - , - 
06/03/2025,PUEBLA,Colombia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,PUEBLA,Cuba, 9 , - , 1 , - , 8 , - , - , - 
06/03/2025,PUEBLA,El Salvador, 1 , 1 , - , - , - , - , - , - 
06/03/2025,PUEBLA,Estados Unidos de América, 4 , - , 4 , - , - , - , - , - 
06/03/2025,PUEBLA,Francia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,PUEBLA,Honduras, 1 , - , - , 1 , - , - , - , - 
06/03/2025,PUEBLA,Países Bajos, 1 , - , - , - , 1 , - , - , - 
06/03/2025,PUEBLA,Perú, 1 , 1 , - , - , - , - , - , - 
06/03/2025,PUEBLA,República Bolivariana de Venezuela, 1 , - , 1 , - , - , - , - , - 
06/03/2025,PUEBLA,Tailandia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,QUERETARO,Argentina, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,QUERETARO,Colombia, 2 , 2 , - , - , - , - , - , - 
06/03/2025,QUERETARO,Costa Rica, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUERETARO,Cuba, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUERETARO,El Salvador, 3 , 2 , 1 , - , - , - , - , - 
06/03/2025,QUERETARO,Estados Unidos de América, 5 , - , 5 , - , - , - , - , - 
06/03/2025,QUERETARO,Francia, 2 , - , 2 , - , - , - , - , - 
06/03/2025,QUERETARO,India, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUERETARO,Italia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUERETARO,Japón, 2 , - , 2 , - , - , - , - , - 
06/03/2025,QUERETARO,República Bolivariana de Venezuela, 4 , 4 , - , - , - , - , - , - 
06/03/2025,QUERETARO,República Islámica del Irán, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Alemania, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Argentina, 17 , 4 , 13 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Austria, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Belice, 31 , - , - , 3 , - , - , 28 , - 
06/03/2025,QUINTANA ROO,Chile, 1 , 1 , - , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Colombia, 6 , 1 , 5 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Cuba, 23 , 6 , 11 , - , 6 , - , - , - 
06/03/2025,QUINTANA ROO,Ecuador, 1 , - , - , 1 , - , - , - , - 
06/03/2025,QUINTANA ROO,España, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Estado Plurinacional de Bolivia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Estados Unidos de América, 7 , 3 , 4 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Francia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Guatemala, 3 , 1 , 1 , - , - , - , 1 , - 
06/03/2025,QUINTANA ROO,Israel, 2 , 1 , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Italia, 3 , - , 3 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Jamaica, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Líbano, 1 , 1 , - , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Reino Unido de Gran Bretaña e Irlanda del Norte, 1 , - , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,República Bolivariana de Venezuela, 3 , 2 , 1 , - , - , - , - , - 
06/03/2025,QUINTANA ROO,Rumania, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SAN LUIS POTOSI,Alemania, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SAN LUIS POTOSI,Brasil, 1 , 1 , - , - , - , - , - , - 
06/03/2025,SAN LUIS POTOSI,Colombia, 4 , 2 , 2 , - , - , - , - , - 
06/03/2025,SAN LUIS POTOSI,Cuba, 7 , - , 1 , - , 6 , - , - , - 
06/03/2025,SAN LUIS POTOSI,Guatemala, 1 , 1 , - , - , - , - , - , - 
06/03/2025,SAN LUIS POTOSI,Honduras, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SAN LUIS POTOSI,Perú, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SINALOA,China, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SINALOA,Cuba, 3 , - , - , - , 3 , - , - , - 
06/03/2025,SINALOA,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
06/03/2025,SINALOA,República Bolivariana de Venezuela, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SONORA,Canadá, 1 , - , 1 , - , - , - , - , - 
06/03/2025,SONORA,Estados Unidos de América, 6 , 2 , 4 , - , - , - , - , - 
06/03/2025,SONORA,Haití, 1 , - , 1 , - , - , - , - , - 
06/03/2025,TABASCO,Argentina, 1 , 1 , - , - , - , - , - , - 
06/03/2025,TABASCO,Colombia, 2 , - , 2 , - , - , - , - , - 
06/03/2025,TABASCO,Cuba, 2 , - , 1 , - , 1 , - , - , - 
06/03/2025,TABASCO,Ecuador, 1 , - , 1 , - , - , - , - , - 
06/03/2025,TABASCO,Guatemala, 21 , - , - , - , - , - , 12 , 9 
06/03/2025,TABASCO,Honduras, 12 , 12 , - , - , - , - , - , - 
06/03/2025,TABASCO,República Bolivariana de Venezuela, 1 , - , 1 , - , - , - , - , - 
06/03/2025,TAMAULIPAS,Colombia, 3 , 2 , 1 , - , - , - , - , - 
06/03/2025,TAMAULIPAS,Cuba, 2 , - , 2 , - , - , - , - , - 
06/03/2025,TAMAULIPAS,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
06/03/2025,TAMAULIPAS,Francia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,TAMAULIPAS,Guatemala, 1 , - , 1 , - , - , - , - , - 
06/03/2025,TAMAULIPAS,Honduras, 2 , - , 1 , 1 , - , - , - , - 
06/03/2025,TAMAULIPAS,Taiwan (Provincia de China), 2 , - , 2 , - , - , - , - , - 
06/03/2025,VERACRUZ,Argelia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,Argentina, 1 , - , 1 , - , - , - , - , - 
06/03/2025,VERACRUZ,Brasil, 2 , 2 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,China, 2 , 2 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,Colombia, 3 , 3 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,Costa Rica, 1 , - , 1 , - , - , - , - , - 
06/03/2025,VERACRUZ,Cuba, 10 , 1 , - , - , 9 , - , - , - 
06/03/2025,VERACRUZ,España, 1 , - , 1 , - , - , - , - , - 
06/03/2025,VERACRUZ,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
06/03/2025,VERACRUZ,Francia, 1 , 1 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,Honduras, 1 , 1 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,India, 1 , 1 , - , - , - , - , - , - 
06/03/2025,VERACRUZ,República Bolivariana de Venezuela, 1 , 1 , - , - , - , - , - , - 
06/03/2025,YUCATAN,Alemania, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,Argentina, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,Belarús, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,Belice, 1 , - , - , 1 , - , - , - , - 
06/03/2025,YUCATAN,Brasil, 2 , - , 2 , - , - , - , - , - 
06/03/2025,YUCATAN,Canadá, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,Chile, 2 , - , 2 , - , - , - , - , - 
06/03/2025,YUCATAN,China, 1 , 1 , - , - , - , - , - , - 
06/03/2025,YUCATAN,Colombia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,Cuba, 4 , 2 , 2 , - , - , - , - , - 
06/03/2025,YUCATAN,Estados Unidos de América, 15 , 4 , 11 , - , - , - , - , - 
06/03/2025,YUCATAN,Nicaragua, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,Polonia, 1 , - , 1 , - , - , - , - , - 
06/03/2025,YUCATAN,República Bolivariana de Venezuela, 4 , 3 , 1 , - , - , - , - , - 
06/03/2025,ZACATECAS,Cuba, 1 , - , - , - , 1 , - , - , - 
07/03/2025,AGUASCALIENTES,Argentina, 1 , 1 , - , - , - , - , - , - 
07/03/2025,AGUASCALIENTES,China, 7 , - , 7 , - , - , - , - , - 
07/03/2025,AGUASCALIENTES,Cuba, 1 , 1 , - , - , - , - , - , - 
07/03/2025,AGUASCALIENTES,Estado Plurinacional de Bolivia, 1 , - , - , 1 , - , - , - , - 
07/03/2025,AGUASCALIENTES,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
07/03/2025,AGUASCALIENTES,India, 1 , - , 1 , - , - , - , - , - 
07/03/2025,AGUASCALIENTES,Japón, 2 , - , 2 , - , - , - , - , - 
07/03/2025,AGUASCALIENTES,Perú, 1 , - , 1 , - , - , - , - , - 
07/03/2025,BAJA CALIFORNIA,Afganistán, 3 , 2 , 1 , - , - , - , - , - 
07/03/2025,BAJA CALIFORNIA,Argentina, 1 , - , 1 , - , - , - , - , - 
07/03/2025,BAJA CALIFORNIA,Chile, 2 , 1 , 1 , - , - , - , - , - 
07/03/2025,BAJA CALIFORNIA,China, 1 , 1 , - , - , - , - , - , - 
