DIA,ESTADO / O.R.,NACIONALIDAD,INADMITIDOS
05/10/2024,Nuevo Leon,España,2
05/10/2024,Quintana Roo,Argentina,2
05/10/2024,Quintana Roo,Camerún,1
05/10/2024,Quintana Roo,China,2
05/10/2024,Quintana Roo,Colombia,15
05/10/2024,Quintana Roo,Cuba,1
05/10/2024,Quintana Roo,Eritrea,1
05/10/2024,Quintana Roo,España,3
05/10/2024,Quintana Roo,Estados Unidos de América,2
05/10/2024,Quintana Roo,Federación De Rusia,4
05/10/2024,Quintana Roo,Filipinas,2
05/10/2024,Quintana Roo,India,1
05/10/2024,Quintana Roo,Mauricio,1
05/10/2024,Quintana Roo,Nigeria,1
05/10/2024,Quintana Roo,Panamá,1
05/10/2024,Quintana Roo,Tayikistán,1
05/10/2024,Quintana Roo,Turquía,4
05/10/2024,Quintana Roo,Ucrania,1
05/10/2024,Quintana Roo,Uzbekistán,4
05/10/2024,Yucatán,China,1
05/10/2024,Yucatán,Cuba,1
05/10/2024,Yucatán,España,1
06/10/2024,Baja California Sur,Filipinas,1
06/10/2024,Ciudad de México,Azerbaiyán,2
06/10/2024,Ciudad de México,Brasil,4
06/10/2024,Ciudad de México,Camerún,1
06/10/2024,Ciudad de México,China,12
06/10/2024,Ciudad de México,Colombia,18
06/10/2024,Ciudad de México,Cuba,1
06/10/2024,Ciudad de México,España,1
06/10/2024,Ciudad de México,Ghana,2
06/10/2024,Ciudad de México,Guatemala,7
06/10/2024,Ciudad de México,Panamá,1
06/10/2024,Ciudad de México,Perú,1
06/10/2024,Estado de México,Colombia,1
06/10/2024,Estado de México,Vietnam,2
06/10/2024,Guanajuato,Estados Unidos de América,1
06/10/2024,Jalisco,Colombia,12
06/10/2024,Quintana Roo,Argentina,4
06/10/2024,Quintana Roo,Brasil,1
06/10/2024,Quintana Roo,China,1
06/10/2024,Quintana Roo,Colombia,15
06/10/2024,Quintana Roo,Cuba,1
06/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,4
06/10/2024,Quintana Roo,Federación De Rusia,1
06/10/2024,Quintana Roo,Filipinas,1
06/10/2024,Quintana Roo,República Bolivariana de Venezuela,2
06/10/2024,Quintana Roo,Trinidad y Tobago,1
06/10/2024,Quintana Roo,Túnez,1
06/10/2024,Quintana Roo,Ucrania,1
07/10/2024,Baja California,China,2
07/10/2024,Baja California,República Bolivariana de Venezuela,1
07/10/2024,Chiapas,China,1
07/10/2024,Chiapas,Guatemala,1
07/10/2024,Ciudad de México,Afganistán,1
07/10/2024,Ciudad de México,Armenia,1
07/10/2024,Ciudad de México,Azerbaiyán,5
07/10/2024,Ciudad de México,China,19
07/10/2024,Ciudad de México,Colombia,39
07/10/2024,Ciudad de México,Costa Rica,3
07/10/2024,Ciudad de México,Cuba,1
07/10/2024,Ciudad de México,España,3
07/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,1
07/10/2024,Ciudad de México,Federación De Rusia,7
07/10/2024,Ciudad de México,Guatemala,4
07/10/2024,Ciudad de México,Honduras,2
07/10/2024,Ciudad de México,India,2
07/10/2024,Ciudad de México,Nicaragua,1
07/10/2024,Ciudad de México,República Bolivariana de Venezuela,2
07/10/2024,Ciudad de México,Trinidad y Tobago,1
07/10/2024,Ciudad de México,Turquía,1
07/10/2024,Estado de México,Colombia,1
07/10/2024,Estado de México,Jamaica,1
07/10/2024,Estado de México,Panamá,2
07/10/2024,Jalisco,Azerbaiyán,2
07/10/2024,Jalisco,Guatemala,1
07/10/2024,Nuevo Leon,Colombia,3
07/10/2024,Quintana Roo,Argentina,3
07/10/2024,Quintana Roo,Bangladesh,1
07/10/2024,Quintana Roo,Colombia,23
07/10/2024,Quintana Roo,Costa Rica,1
07/10/2024,Quintana Roo,Cuba,5
07/10/2024,Quintana Roo,Eritrea,1
07/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,3
07/10/2024,Quintana Roo,Federación De Rusia,6
07/10/2024,Quintana Roo,Finlandia,1
07/10/2024,Quintana Roo,Líbano,1
07/10/2024,Quintana Roo,Luxemburgo,1
07/10/2024,Quintana Roo,República Islámica del Irán,1
07/10/2024,Quintana Roo,Rumania,10
07/10/2024,Quintana Roo,Turquía,1
07/10/2024,Quintana Roo,Ucrania,3
07/10/2024,Quintana Roo,Uruguay,1
07/10/2024,Quintana Roo,Vietnam,1
08/10/2024,Baja California,Estados Unidos de América,1
08/10/2024,Chiapas,Belice,1
08/10/2024,Ciudad de México,Argentina,1
08/10/2024,Ciudad de México,Azerbaiyán,4
08/10/2024,Ciudad de México,Brasil,2
08/10/2024,Ciudad de México,Chile,1
08/10/2024,Ciudad de México,China,14
08/10/2024,Ciudad de México,Colombia,72
08/10/2024,Ciudad de México,Cuba,2
08/10/2024,Ciudad de México,Ecuador,2
08/10/2024,Ciudad de México,El Salvador,1
08/10/2024,Ciudad de México,España,3
08/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,5
08/10/2024,Ciudad de México,Estados Unidos de América,1
08/10/2024,Ciudad de México,Federación De Rusia,6
08/10/2024,Ciudad de México,Guatemala,1
08/10/2024,Ciudad de México,India,4
08/10/2024,Ciudad de México,República Bolivariana de Venezuela,3
08/10/2024,Ciudad de México,Rumania,4
08/10/2024,Ciudad de México,Turquía,4
08/10/2024,Ciudad de México,Uzbekistán,3
08/10/2024,Ciudad de México,Vietnam,2
08/10/2024,Estado de México,Argentina,2
08/10/2024,Estado de México,Colombia,7
08/10/2024,Estado de México,España,1
08/10/2024,Jalisco,Colombia,10
08/10/2024,Jalisco,El Salvador,1
08/10/2024,Jalisco,Estados Unidos de América,1
08/10/2024,Nuevo Leon,Estados Unidos de América,1
08/10/2024,Quintana Roo,Chile,1
08/10/2024,Quintana Roo,Colombia,31
08/10/2024,Quintana Roo,Costa Rica,1
08/10/2024,Quintana Roo,Eritrea,1
08/10/2024,Quintana Roo,España,1
08/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,2
08/10/2024,Quintana Roo,Estados Unidos de América,3
08/10/2024,Quintana Roo,Etiopia,1
08/10/2024,Quintana Roo,Federación De Rusia,1
08/10/2024,Quintana Roo,Haití,1
08/10/2024,Quintana Roo,Jamaica,1
08/10/2024,Quintana Roo,República Bolivariana de Venezuela,1
08/10/2024,Quintana Roo,Turquía,4
08/10/2024,Quintana Roo,Ucrania,1
09/10/2024,Baja California,China,4
09/10/2024,Chiapas,Guatemala,3
09/10/2024,Chiapas,Haití,1
09/10/2024,Ciudad de México,Argentina,2
09/10/2024,Ciudad de México,Brasil,1
09/10/2024,Ciudad de México,Chile,2
09/10/2024,Ciudad de México,China,30
09/10/2024,Ciudad de México,Colombia,90
09/10/2024,Ciudad de México,Costa Rica,6
09/10/2024,Ciudad de México,Cuba,1
09/10/2024,Ciudad de México,Ecuador,1
09/10/2024,Ciudad de México,España,4
09/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,9
09/10/2024,Ciudad de México,Federación De Rusia,6
09/10/2024,Ciudad de México,Guatemala,2
09/10/2024,Ciudad de México,Kazajstan,3
09/10/2024,Ciudad de México,México,1
09/10/2024,Ciudad de México,Nicaragua,2
09/10/2024,Ciudad de México,Panamá,2
09/10/2024,Ciudad de México,Región Administrativa Especial Hong Kong,1
09/10/2024,Ciudad de México,República Bolivariana de Venezuela,7
09/10/2024,Ciudad de México,Turkmenistan,2
09/10/2024,Ciudad de México,Vietnam,1
09/10/2024,Estado de México,Azerbaiyán,1
09/10/2024,Estado de México,Chile,1
09/10/2024,Estado de México,Colombia,7
09/10/2024,Estado de México,Francia,1
09/10/2024,Estado de México,Jamaica,4
09/10/2024,Nuevo Leon,China,11
09/10/2024,Nuevo Leon,Colombia,5
09/10/2024,Nuevo Leon,España,1
09/10/2024,Quintana Roo,Argentina,3
09/10/2024,Quintana Roo,Colombia,54
09/10/2024,Quintana Roo,Cuba,1
09/10/2024,Quintana Roo,España,2
09/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,8
09/10/2024,Quintana Roo,Filipinas,1
09/10/2024,Quintana Roo,Italia,1
09/10/2024,Quintana Roo,Turquía,5
10/10/2024,Chiapas,Guatemala,1
10/10/2024,Ciudad de México,Argentina,2
10/10/2024,Ciudad de México,Azerbaiyán,4
10/10/2024,Ciudad de México,Brasil,1
10/10/2024,Ciudad de México,Camerún,1
10/10/2024,Ciudad de México,China,57
10/10/2024,Ciudad de México,Colombia,110
10/10/2024,Ciudad de México,Cuba,1
10/10/2024,Ciudad de México,Ecuador,1
10/10/2024,Ciudad de México,El Salvador,1
10/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,1
10/10/2024,Ciudad de México,Etiopia,1
10/10/2024,Ciudad de México,Federación De Rusia,1
10/10/2024,Ciudad de México,Guatemala,2
10/10/2024,Ciudad de México,Jordania,1
10/10/2024,Ciudad de México,Kirguistán,1
10/10/2024,Ciudad de México,Panamá,1
10/10/2024,Ciudad de México,Perú,2
10/10/2024,Ciudad de México,República Bolivariana de Venezuela,1
10/10/2024,Ciudad de México,Trinidad y Tobago,1
10/10/2024,Ciudad de México,Turquía,1
10/10/2024,Ciudad de México,Vietnam,1
10/10/2024,Estado de México,Colombia,11
10/10/2024,Estado de México,Cuba,1
10/10/2024,Estado de México,España,2
10/10/2024,Estado de México,Estados Unidos de América,1
10/10/2024,Estado de México,Haití,4
10/10/2024,Jalisco,Colombia,15
10/10/2024,Nuevo Leon,Colombia,6
10/10/2024,Quintana Roo,Argentina,6
10/10/2024,Quintana Roo,Azerbaiyán,1
10/10/2024,Quintana Roo,Brasil,2
10/10/2024,Quintana Roo,Chile,3
10/10/2024,Quintana Roo,China,1
10/10/2024,Quintana Roo,Colombia,42
10/10/2024,Quintana Roo,Costa Rica,2
10/10/2024,Quintana Roo,Cuba,3
10/10/2024,Quintana Roo,España,3
10/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,5
10/10/2024,Quintana Roo,Etiopia,1
10/10/2024,Quintana Roo,Ex República Yugoslava De Macedonia,1
10/10/2024,Quintana Roo,Federación De Rusia,1
10/10/2024,Quintana Roo,Ghana,1
10/10/2024,Quintana Roo,Guatemala,1
10/10/2024,Quintana Roo,Haití,3
10/10/2024,Quintana Roo,Jamaica,4
10/10/2024,Quintana Roo,Madagascar,1
10/10/2024,Quintana Roo,Perú,2
10/10/2024,Quintana Roo,República Bolivariana de Venezuela,1
10/10/2024,Quintana Roo,República Islámica del Irán,1
10/10/2024,Quintana Roo,Rumania,2
10/10/2024,Quintana Roo,Turquía,3
10/10/2024,Quintana Roo,Ucrania,2
11/10/2024,Baja California,China,3
11/10/2024,Baja California,Estados Unidos de América,1
11/10/2024,Baja California,Federación De Rusia,1
11/10/2024,Ciudad de México,Argentina,2
11/10/2024,Ciudad de México,Armenia,1
11/10/2024,Ciudad de México,Brasil,1
11/10/2024,Ciudad de México,Chile,1
11/10/2024,Ciudad de México,China,24
11/10/2024,Ciudad de México,Colombia,76
11/10/2024,Ciudad de México,Costa Rica,1
11/10/2024,Ciudad de México,Cuba,1
11/10/2024,Ciudad de México,Egipto,4
11/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,3
11/10/2024,Ciudad de México,Estados Unidos de América,1
11/10/2024,Ciudad de México,Federación De Rusia,3
11/10/2024,Ciudad de México,Guatemala,1
11/10/2024,Ciudad de México,Haití,1
11/10/2024,Ciudad de México,Honduras,4
11/10/2024,Ciudad de México,Nicaragua,1
11/10/2024,Ciudad de México,Pakistán,4
