DIA,ESTADO / O.R.,NACIONALIDAD,INADMITIDOS
31/05/2025,Ciudad de México,Alemania,3
31/05/2025,Ciudad de México,China,4
31/05/2025,Ciudad de México,Colombia,30
31/05/2025,Ciudad de México,Cuba,1
31/05/2025,Ciudad de México,Ecuador,1
31/05/2025,Ciudad de México,Guatemala,1
31/05/2025,Ciudad de México,Pakistán,4
31/05/2025,Ciudad de México,Paraguay,1
31/05/2025,Estado de México,Colombia,1
31/05/2025,Jalisco,Colombia,4
31/05/2025,Jalisco,Estados Unidos de América,1
31/05/2025,Quintana Roo,Argentina,4
31/05/2025,Quintana Roo,Chile,2
31/05/2025,Quintana Roo,Colombia,16
31/05/2025,Quintana Roo,Costa Rica,1
31/05/2025,Quintana Roo,España,1
31/05/2025,Quintana Roo,Estados Unidos de América,2
31/05/2025,Quintana Roo,Francia,1
31/05/2025,Quintana Roo,Panamá,1
31/05/2025,Quintana Roo,Ucrania,1
31/05/2025,Yucatán,Estados Unidos de América,1
01/06/2025,Baja California,Estados Unidos de América,22
01/06/2025,Baja California,Etiopia,3
01/06/2025,Chiapas,Guatemala,1
01/06/2025,Ciudad de México,Argentina,2
01/06/2025,Ciudad de México,Brasil,1
01/06/2025,Ciudad de México,Colombia,5
01/06/2025,Ciudad de México,Cuba,1
01/06/2025,Ciudad de México,El Salvador,1
01/06/2025,Ciudad de México,Estados Unidos de América,1
01/06/2025,Ciudad de México,Italia,1
01/06/2025,Ciudad de México,Perú,1
01/06/2025,Jalisco,Colombia,6
01/06/2025,Jalisco,Estados Unidos de América,1
01/06/2025,Jalisco,República Dominicana,1
01/06/2025,Nuevo Leon,Argentina,3
01/06/2025,Nuevo Leon,Brasil,1
01/06/2025,Nuevo Leon,Colombia,1
01/06/2025,Nuevo Leon,Ecuador,1
01/06/2025,Quintana Roo,Brasil,1
01/06/2025,Quintana Roo,China,1
01/06/2025,Quintana Roo,Colombia,18
01/06/2025,Quintana Roo,España,1
01/06/2025,Quintana Roo,Estados Unidos de América,7
01/06/2025,Quintana Roo,Federación De Rusia,3
01/06/2025,Quintana Roo,Filipinas,2
01/06/2025,Quintana Roo,Marruecos,3
01/06/2025,Quintana Roo,Panamá,1
01/06/2025,Quintana Roo,República Islámica del Irán,2
01/06/2025,Quintana Roo,Rumania,3
01/06/2025,Quintana Roo,Suriname,1
01/06/2025,Quintana Roo,Turquía,3
01/06/2025,Tabasco,Guatemala,1
02/06/2025,Baja California Sur,China,1
02/06/2025,Baja California,Estados Unidos de América,44
02/06/2025,Baja California,República Islámica del Irán,1
02/06/2025,Chiapas,Guatemala,1
02/06/2025,Ciudad de México,Argentina,2
02/06/2025,Ciudad de México,Chile,1
02/06/2025,Ciudad de México,China,2
02/06/2025,Ciudad de México,Colombia,6
02/06/2025,Ciudad de México,Costa Rica,1
02/06/2025,Ciudad de México,Cuba,5
02/06/2025,Ciudad de México,Ecuador,1
02/06/2025,Ciudad de México,España,1
02/06/2025,Ciudad de México,Panamá,1
02/06/2025,Ciudad de México,Turquía,1
02/06/2025,Estado de México,Colombia,7
02/06/2025,Jalisco,India,1
02/06/2025,Quintana Roo,Argentina,1
02/06/2025,Quintana Roo,Brasil,1
02/06/2025,Quintana Roo,China,1
02/06/2025,Quintana Roo,Colombia,21
02/06/2025,Quintana Roo,Estados Unidos de América,1
02/06/2025,Quintana Roo,Ucrania,1
02/06/2025,Quintana Roo,Uruguay,1
03/06/2025,Baja California Sur,Estados Unidos de América,1
03/06/2025,Baja California,Australia,1
03/06/2025,Baja California,Cuba,1
03/06/2025,Baja California,Estados Unidos de América,36
03/06/2025,Ciudad de México,Argentina,1
03/06/2025,Ciudad de México,China,2
03/06/2025,Ciudad de México,Colombia,10
03/06/2025,Ciudad de México,Cuba,3
03/06/2025,Ciudad de México,India,4
03/06/2025,Ciudad de México,Uruguay,2
03/06/2025,Estado de México,Colombia,5
03/06/2025,Estado de México,Cuba,1
03/06/2025,Jalisco,Colombia,1
03/06/2025,Jalisco,Ucrania,2
03/06/2025,Nuevo Leon,Colombia,1
03/06/2025,Nuevo Leon,España,1
03/06/2025,Quintana Roo,Argentina,6
03/06/2025,Quintana Roo,Canadá,1
03/06/2025,Quintana Roo,Chile,2
03/06/2025,Quintana Roo,China,2
03/06/2025,Quintana Roo,Colombia,6
03/06/2025,Quintana Roo,Estado Plurinacional de Bolivia,2
03/06/2025,Quintana Roo,Federación De Rusia,1
03/06/2025,Quintana Roo,Marruecos,1
04/06/2025,Baja California,China,2
04/06/2025,Baja California,Estados Unidos de América,36
04/06/2025,Baja California,México,1
04/06/2025,Ciudad de México,Argentina,2
04/06/2025,Ciudad de México,Armenia,3
04/06/2025,Ciudad de México,China,1
04/06/2025,Ciudad de México,Colombia,24
04/06/2025,Ciudad de México,Costa Rica,1
04/06/2025,Ciudad de México,Cuba,1
04/06/2025,Ciudad de México,El Salvador,1
04/06/2025,Ciudad de México,Estados Unidos de América,2
04/06/2025,Ciudad de México,Federación De Rusia,3
04/06/2025,Ciudad de México,Perú,1
04/06/2025,Ciudad de México,Rumania,2
04/06/2025,Ciudad de México,Turquía,1
04/06/2025,Estado de México,Argentina,1
04/06/2025,Quintana Roo,Argentina,2
04/06/2025,Quintana Roo,Colombia,4
04/06/2025,Quintana Roo,Croacia,1
04/06/2025,Quintana Roo,Estados Unidos de América,2
04/06/2025,Quintana Roo,Filipinas,1
04/06/2025,Quintana Roo,Rumania,1
04/06/2025,Tamaulipas,Estados Unidos de América,1
05/06/2025,Baja California,China,1
05/06/2025,Baja California,Estados Unidos de América,30
05/06/2025,Chiapas,Guatemala,1
05/06/2025,Chihuahua,Estados Unidos de América,1
05/06/2025,Ciudad de México,Chile,1
05/06/2025,Ciudad de México,China,2
05/06/2025,Ciudad de México,Colombia,25
05/06/2025,Ciudad de México,Cuba,2
05/06/2025,Ciudad de México,El Salvador,2
05/06/2025,Ciudad de México,Federación De Rusia,1
05/06/2025,Ciudad de México,Guatemala,2
05/06/2025,Ciudad de México,Nicaragua,1
05/06/2025,Ciudad de México,Sri Lanka,3
05/06/2025,Estado de México,Cuba,3
05/06/2025,Estado de México,Jamaica,2
05/06/2025,Jalisco,Colombia,5
05/06/2025,Quintana Roo,Chile,1
05/06/2025,Quintana Roo,Colombia,15
05/06/2025,Quintana Roo,Estados Unidos de América,1
05/06/2025,Quintana Roo,Federación De Rusia,2
05/06/2025,Quintana Roo,Filipinas,1
05/06/2025,Quintana Roo,Guinea,1
05/06/2025,Quintana Roo,Marruecos,1
05/06/2025,Quintana Roo,Portugal,1
05/06/2025,Quintana Roo,Trinidad y Tobago,1
06/06/2025,Baja California Sur,Estados Unidos de América,1
06/06/2025,Baja California,Estados Unidos de América,45
06/06/2025,Baja California,Guatemala,2
06/06/2025,Baja California,India,1
06/06/2025,Chiapas,Guatemala,1
06/06/2025,Ciudad de México,Argentina,2
06/06/2025,Ciudad de México,China,7
06/06/2025,Ciudad de México,Colombia,19
06/06/2025,Ciudad de México,Costa Rica,3
06/06/2025,Ciudad de México,Cuba,10
06/06/2025,Ciudad de México,El Salvador,1
06/06/2025,Ciudad de México,España,2
06/06/2025,Ciudad de México,Estados Unidos de América,1
06/06/2025,Ciudad de México,Guatemala,2
06/06/2025,Ciudad de México,Kenia,1
06/06/2025,Ciudad de México,Nicaragua,1
06/06/2025,Ciudad de México,Nigeria,1
06/06/2025,Ciudad de México,Noruega,1
06/06/2025,Ciudad de México,Pakistán,1
06/06/2025,Ciudad de México,Rumania,1
06/06/2025,Estado de México,Colombia,5
06/06/2025,Jalisco,Colombia,2
06/06/2025,Nuevo Leon,Colombia,4
06/06/2025,Quintana Roo,Colombia,4
06/06/2025,Quintana Roo,España,3
06/06/2025,Quintana Roo,Estados Unidos de América,3
06/06/2025,Quintana Roo,Panamá,2
06/06/2025,Quintana Roo,Perú,1
06/06/2025,Quintana Roo,Taiwan (Provincia de China),1
07/06/2025,Baja California Sur,Estados Unidos de América,1
07/06/2025,Baja California,Estados Unidos de América,55
07/06/2025,Baja California,República Islámica del Irán,1
07/06/2025,Baja California,Sri Lanka,1
07/06/2025,Chiapas,Belice,1
07/06/2025,Chiapas,Guatemala,1
07/06/2025,Ciudad de México,Argentina,1
07/06/2025,Ciudad de México,Chile,1
07/06/2025,Ciudad de México,China,3
07/06/2025,Ciudad de México,Colombia,8
07/06/2025,Ciudad de México,Cuba,1
07/06/2025,Ciudad de México,España,1
07/06/2025,Ciudad de México,Estado Plurinacional de Bolivia,2
07/06/2025,Ciudad de México,Guatemala,2
07/06/2025,Ciudad de México,Honduras,1
07/06/2025,Estado de México,Colombia,7
07/06/2025,Jalisco,China,1
07/06/2025,Jalisco,Panamá,2
07/06/2025,Nuevo Leon,Federación De Rusia,1
07/06/2025,Quintana Roo,Colombia,14
07/06/2025,Quintana Roo,España,1
07/06/2025,Quintana Roo,Estado Plurinacional de Bolivia,2
07/06/2025,Quintana Roo,Filipinas,1
07/06/2025,Quintana Roo,Reino Unido de Gran Bretaña e Irlanda del Norte,2
07/06/2025,Quintana Roo,Sudán,1
07/06/2025,Quintana Roo,Ucrania,2
08/06/2025,Baja California,China,1
08/06/2025,Baja California,Estados Unidos de América,40
08/06/2025,Chiapas,Guatemala,1
08/06/2025,Ciudad de México,Argentina,3
08/06/2025,Ciudad de México,Brasil,1
08/06/2025,Ciudad de México,China,2
08/06/2025,Ciudad de México,Colombia,2
08/06/2025,Ciudad de México,Costa Rica,1
08/06/2025,Ciudad de México,Cuba,1
08/06/2025,Ciudad de México,Estados Unidos de América,1
08/06/2025,Ciudad de México,Nigeria,3
08/06/2025,Ciudad de México,Panamá,1
08/06/2025,Ciudad de México,República Bolivariana de Venezuela,1
08/06/2025,Ciudad de México,Vietnam,1
08/06/2025,Estado de México,Cuba,1
08/06/2025,Estado de México,España,1
08/06/2025,Jalisco,Colombia,3
08/06/2025,Quintana Roo,Chile,1
08/06/2025,Quintana Roo,China,1
08/06/2025,Quintana Roo,Colombia,6
08/06/2025,Quintana Roo,Cuba,1
08/06/2025,Quintana Roo,Estados Unidos de América,1
08/06/2025,Quintana Roo,Italia,1
08/06/2025,Quintana Roo,Rumania,1
09/06/2025,Baja California,China,1
09/06/2025,Baja California,Estados Unidos de América,14
09/06/2025,Baja California,Federación De Rusia,2
09/06/2025,Chiapas,Belice,1
09/06/2025,Chiapas,Guatemala,3
09/06/2025,Ciudad de México,Argentina,3
09/06/2025,Ciudad de México,Colombia,18
09/06/2025,Ciudad de México,Federación De Rusia,1
09/06/2025,Ciudad de México,Honduras,1
09/06/2025,Estado de México,Colombia,13
09/06/2025,Nuevo Leon,Colombia,1
09/06/2025,Quintana Roo,Argentina,1
09/06/2025,Quintana Roo,Chile,2
09/06/2025,Quintana Roo,Colombia,3
09/06/2025,Quintana Roo,Estados Unidos de América,1
09/06/2025,Quintana Roo,Guatemala,2
09/06/2025,Quintana Roo,Polonia,1
09/06/2025,Quintana Roo,Trinidad y Tobago,1
09/06/2025,Tamaulipas,Estados Unidos de América,1
10/06/2025,Baja California,Estados Unidos de América,31
10/06/2025,Baja California,Malasia,2
10/06/2025,Ciudad de México,Argentina,1
10/06/2025,Ciudad de México,China,2
10/06/2025,Ciudad de México,Colombia,25
10/06/2025,Ciudad de México,Costa Rica,2
10/06/2025,Ciudad de México,Cuba,7
10/06/2025,Ciudad de México,Guatemala,1
10/06/2025,Ciudad de México,Haití,1
10/06/2025,Ciudad de México,Pakistán,1
10/06/2025,Ciudad de México,Turquía,3
10/06/2025,Jalisco,Colombia,3
10/06/2025,Nuevo Leon,Colombia,3
10/06/2025,Nuevo Leon,Estados Unidos de América,1
10/06/2025,Quintana Roo,Argentina,2
10/06/2025,Quintana Roo,Bangladesh,2
10/06/2025,Quintana Roo,Brasil,2
10/06/2025,Quintana Roo,Chile,2
10/06/2025,Quintana Roo,Colombia,18
10/06/2025,Quintana Roo,Estados Unidos de América,3
10/06/2025,Quintana Roo,Federación De Rusia,1
10/06/2025,Quintana Roo,Nigeria,1
10/06/2025,Quintana Roo,República de Moldova,1
10/06/2025,Quintana Roo,Rumania,1
10/06/2025,Quintana Roo,Turquía,1
11/06/2025,Baja California,Estados Unidos de América,28
11/06/2025,Chiapas,Chile,1
11/06/2025,Ciudad de México,Argentina,1
11/06/2025,Ciudad de México,Brasil,1
11/06/2025,Ciudad de México,Chile,1
11/06/2025,Ciudad de México,China,2
11/06/2025,Ciudad de México,Colombia,24
11/06/2025,Ciudad de México,Cuba,3
11/06/2025,Ciudad de México,España,1
11/06/2025,Ciudad de México,Nicaragua,1
11/06/2025,Ciudad de México,Perú,1
11/06/2025,Ciudad de México,República Bolivariana de Venezuela,1
11/06/2025,Estado de México,Colombia,5
11/06/2025,Estado de México,Estados Unidos de América,1
11/06/2025,Estado de México,Turquía,1
11/06/2025,Nuevo Leon,Cuba,1
11/06/2025,Quintana Roo,Argentina,2
11/06/2025,Quintana Roo,Canadá,1
11/06/2025,Quintana Roo,Colombia,16
11/06/2025,Quintana Roo,Costa Rica,2
11/06/2025,Quintana Roo,El Salvador,1
11/06/2025,Quintana Roo,Estados Unidos de América,4
11/06/2025,Quintana Roo,Trinidad y Tobago,3
12/06/2025,Baja California,Estados Unidos de América,25
12/06/2025,Baja California,Etiopia,1
12/06/2025,Baja California,República Bolivariana de Venezuela,1
12/06/2025,Chiapas,Guatemala,1
12/06/2025,Ciudad de México,Argentina,1
12/06/2025,Ciudad de México,China,2
12/06/2025,Ciudad de México,Colombia,19
12/06/2025,Ciudad de México,Cuba,3
12/06/2025,Ciudad de México,Guatemala,1
12/06/2025,Ciudad de México,Italia,1
12/06/2025,Estado de México,Colombia,1
12/06/2025,Estado de México,Cuba,1
12/06/2025,Jalisco,Colombia,4
12/06/2025,Jalisco,Estados Unidos de América,1
12/06/2025,Nuevo Leon,Colombia,4
12/06/2025,Nuevo Leon,República Bolivariana de Venezuela,1
12/06/2025,Quintana Roo,Brasil,2
12/06/2025,Quintana Roo,Chile,1
12/06/2025,Quintana Roo,Colombia,7
12/06/2025,Quintana Roo,Costa Rica,2
12/06/2025,Quintana Roo,Cuba,3
12/06/2025,Quintana Roo,Ecuador,1
12/06/2025,Quintana Roo,Estados Unidos de América,4
12/06/2025,Quintana Roo,Paraguay,1
12/06/2025,Quintana Roo,Perú,1
13/06/2025,Baja California Sur,Estados Unidos de América,1
13/06/2025,Baja California,Estados Unidos de América,25
13/06/2025,Baja California,Federación De Rusia,1
13/06/2025,Ciudad de México,Argentina,1
13/06/2025,Ciudad de México,China,3
13/06/2025,Ciudad de México,Colombia,23
13/06/2025,Ciudad de México,Costa Rica,6
13/06/2025,Ciudad de México,Cuba,5
13/06/2025,Ciudad de México,España,1
13/06/2025,Ciudad de México,Haití,1
13/06/2025,Ciudad de México,Nicaragua,1
13/06/2025,Ciudad de México,Panamá,1
13/06/2025,Estado de México,Colombia,1
13/06/2025,Estado de México,Haití,3
13/06/2025,Jalisco,Colombia,4
13/06/2025,Jalisco,Estados Unidos de América,2
13/06/2025,Nuevo Leon,Argentina,1
13/06/2025,Nuevo Leon,Colombia,5
13/06/2025,Nuevo Leon,Estados Unidos de América,1
13/06/2025,Nuevo Leon,Perú,1
13/06/2025,Quintana Roo,Argentina,2
13/06/2025,Quintana Roo,Chile,1
13/06/2025,Quintana Roo,Colombia,16
13/06/2025,Quintana Roo,Costa Rica,1
13/06/2025,Quintana Roo,Estado Plurinacional de Bolivia,1
13/06/2025,Quintana Roo,Estados Unidos de América,4
13/06/2025,Quintana Roo,Federación De Rusia,1
13/06/2025,Quintana Roo,Líbano,1
13/06/2025,Quintana Roo,Paraguay,1
13/06/2025,Quintana Roo,Taiwan (Provincia de China),1
14/06/2025,Baja California Sur,Estados Unidos de América,1
14/06/2025,Baja California,China,1
14/06/2025,Baja California,Estados Unidos de América,28
14/06/2025,Baja California,Pakistán,1
14/06/2025,Ciudad de México,Argentina,5
14/06/2025,Ciudad de México,China,3
14/06/2025,Ciudad de México,Colombia,8
14/06/2025,Ciudad de México,Cuba,10
14/06/2025,Ciudad de México,Guatemala,2
14/06/2025,Ciudad de México,Honduras,1
14/06/2025,Ciudad de México,Perú,2
14/06/2025,Estado de México,Colombia,3
14/06/2025,Estado de México,Cuba,1
14/06/2025,Estado de México,Francia,1
14/06/2025,Quintana Roo,Argentina,1
14/06/2025,Quintana Roo,Brasil,1
14/06/2025,Quintana Roo,Canadá,2
14/06/2025,Quintana Roo,Colombia,24
14/06/2025,Quintana Roo,Costa Rica,1
14/06/2025,Quintana Roo,Cuba,1
14/06/2025,Quintana Roo,España,1
14/06/2025,Quintana Roo,Estados Unidos de América,5
14/06/2025,Quintana Roo,Panamá,1
14/06/2025,Quintana Roo,República Bolivariana de Venezuela,2
14/06/2025,Quintana Roo,Rumania,1
14/06/2025,Sinaloa,Estados Unidos de América,1
14/06/2025,Tamaulipas,Argentina,1
15/06/2025,Baja California,Estados Unidos de América,3
15/06/2025,Baja California,Kazajstan,1
15/06/2025,Chiapas,Colombia,1
15/06/2025,Ciudad de México,Argentina,1
15/06/2025,Ciudad de México,Chile,1
15/06/2025,Ciudad de México,China,3
15/06/2025,Ciudad de México,Colombia,6
15/06/2025,Ciudad de México,Cuba,3
15/06/2025,Ciudad de México,España,1
15/06/2025,Ciudad de México,Guatemala,1
15/06/2025,Ciudad de México,India,1
15/06/2025,Ciudad de México,Perú,2
15/06/2025,Estado de México,Cuba,1
15/06/2025,Jalisco,Colombia,1
15/06/2025,Jalisco,Turquía,1
15/06/2025,Nuevo Leon,Brasil,1
15/06/2025,Nuevo Leon,Costa Rica,1
15/06/2025,Nuevo Leon,España,1
15/06/2025,Quintana Roo,Argentina,2
15/06/2025,Quintana Roo,China,4
15/06/2025,Quintana Roo,Colombia,7
15/06/2025,Quintana Roo,Estados Unidos de América,2
15/06/2025,Quintana Roo,Guatemala,3
15/06/2025,Quintana Roo,República Bolivariana de Venezuela,1
16/06/2025,Baja California,Estados Unidos de América,26
16/06/2025,Baja California,Federación De Rusia,2
16/06/2025,Chiapas,Guatemala,1
16/06/2025,Ciudad de México,Argentina,1
16/06/2025,Ciudad de México,Australia,1
16/06/2025,Ciudad de México,China,4
16/06/2025,Ciudad de México,Colombia,9
16/06/2025,Ciudad de México,Cuba,2
16/06/2025,Ciudad de México,Federación De Rusia,2
16/06/2025,Ciudad de México,Guatemala,1
16/06/2025,Ciudad de México,Haití,1
16/06/2025,Ciudad de México,India,1
16/06/2025,Estado de México,Colombia,2
16/06/2025,Jalisco,Colombia,1
16/06/2025,Jalisco,Honduras,1
16/06/2025,Nuevo Leon,Colombia,2
16/06/2025,Quintana Roo,Alemania,2
16/06/2025,Quintana Roo,Argentina,2
16/06/2025,Quintana Roo,Colombia,2
16/06/2025,Quintana Roo,Estado Plurinacional de Bolivia,1
16/06/2025,Quintana Roo,Estados Unidos de América,8
16/06/2025,Quintana Roo,Filipinas,2
16/06/2025,Quintana Roo,Líbano,1
16/06/2025,Quintana Roo,Panamá,1
16/06/2025,Quintana Roo,Reino Unido de Gran Bretaña e Irlanda del Norte,2
17/06/2025,Baja California,Estados Unidos de América,30
17/06/2025,Ciudad de México,Argentina,2
17/06/2025,Ciudad de México,China,1
17/06/2025,Ciudad de México,Colombia,25
17/06/2025,Ciudad de México,Costa Rica,4
17/06/2025,Ciudad de México,Cuba,5
17/06/2025,Ciudad de México,Estados Unidos de América,1
17/06/2025,Ciudad de México,Guatemala,1
17/06/2025,Ciudad de México,Honduras,1
17/06/2025,Ciudad de México,Pakistán,1
17/06/2025,Ciudad de México,Panamá,2
17/06/2025,Ciudad de México,República Bolivariana de Venezuela,1
17/06/2025,Jalisco,Estados Unidos de América,1
17/06/2025,Jalisco,Pakistán,1
17/06/2025,Nuevo Leon,Brasil,1
17/06/2025,Nuevo Leon,Colombia,2
17/06/2025,Quintana Roo,Argentina,2
17/06/2025,Quintana Roo,China,6
17/06/2025,Quintana Roo,Colombia,11
17/06/2025,Quintana Roo,Cuba,1
17/06/2025,Quintana Roo,España,1
17/06/2025,Quintana Roo,Honduras,1
17/06/2025,Quintana Roo,Uruguay,2
18/06/2025,Baja California,China,1
18/06/2025,Baja California,Estados Unidos de América,35
18/06/2025,Chiapas,Costa Rica,1
18/06/2025,Chiapas,Guatemala,1
18/06/2025,Ciudad de México,Argentina,1
18/06/2025,Ciudad de México,Chile,1
18/06/2025,Ciudad de México,China,5
18/06/2025,Ciudad de México,Colombia,30
18/06/2025,Ciudad de México,Cuba,9
18/06/2025,Ciudad de México,España,1
18/06/2025,Ciudad de México,Estados Unidos de América,2
18/06/2025,Ciudad de México,Nigeria,1
18/06/2025,Ciudad de México,Pakistán,1
18/06/2025,Estado de México,Colombia,1
18/06/2025,Quintana Roo,Argentina,2
18/06/2025,Quintana Roo,Colombia,15
18/06/2025,Quintana Roo,Costa Rica,5
18/06/2025,Quintana Roo,España,1
18/06/2025,Quintana Roo,Estados Unidos de América,4
18/06/2025,Quintana Roo,Honduras,1
19/06/2025,Baja California,Estados Unidos de América,30
19/06/2025,Baja California,Kenia,1
19/06/2025,Baja California,República Bolivariana de Venezuela,1
19/06/2025,Ciudad de México,Brasil,1
19/06/2025,Ciudad de México,China,3
19/06/2025,Ciudad de México,Colombia,11
19/06/2025,Ciudad de México,Costa Rica,1
19/06/2025,Ciudad de México,Cuba,1
19/06/2025,Ciudad de México,Estado Plurinacional de Bolivia,1
19/06/2025,Ciudad de México,Honduras,1
19/06/2025,Ciudad de México,India,1
19/06/2025,Ciudad de México,Italia,1
19/06/2025,Ciudad de México,Panamá,1
19/06/2025,Ciudad de México,Yemen,2
19/06/2025,Estado de México,Chile,1
19/06/2025,Estado de México,Cuba,1
19/06/2025,Jalisco,Colombia,3
19/06/2025,Jalisco,India,1
19/06/2025,Nuevo Leon,Argentina,4
19/06/2025,Quintana Roo,Argentina,2
19/06/2025,Quintana Roo,Brasil,1
19/06/2025,Quintana Roo,Canadá,1
19/06/2025,Quintana Roo,China,1
19/06/2025,Quintana Roo,Colombia,13
19/06/2025,Quintana Roo,Costa Rica,1
19/06/2025,Quintana Roo,Estados Unidos de América,3
19/06/2025,Quintana Roo,Federación De Rusia,1
19/06/2025,Quintana Roo,Perú,1
19/06/2025,Quintana Roo,Rumania,2
19/06/2025,Quintana Roo,Taiwan (Provincia de China),2
19/06/2025,Quintana Roo,Turquía,1
19/06/2025,Tamaulipas,Estados Unidos de América,1
20/06/2025,Baja California Sur,Estados Unidos de América,1
20/06/2025,Baja California,China,5
20/06/2025,Baja California,Estados Unidos de América,24
20/06/2025,Chiapas,Belice,1
20/06/2025,Chiapas,Guatemala,1
20/06/2025,Ciudad de México,Chile,3
20/06/2025,Ciudad de México,China,1
20/06/2025,Ciudad de México,Colombia,17
20/06/2025,Ciudad de México,Cuba,6
20/06/2025,Ciudad de México,España,1
20/06/2025,Ciudad de México,Estado Plurinacional de Bolivia,1
20/06/2025,Ciudad de México,Guatemala,1
20/06/2025,Ciudad de México,Panamá,3
20/06/2025,Ciudad de México,Perú,1
20/06/2025,Ciudad de México,República Bolivariana de Venezuela,1
20/06/2025,Estado de México,Colombia,10
20/06/2025,Estado de México,Suecia,1
20/06/2025,Jalisco,Colombia,1
20/06/2025,Jalisco,Perú,1
20/06/2025,Nuevo Leon,Argentina,1
20/06/2025,Nuevo Leon,Brasil,3
20/06/2025,Nuevo Leon,Colombia,9
20/06/2025,Nuevo Leon,Costa Rica,1
20/06/2025,Nuevo Leon,Honduras,1
20/06/2025,Nuevo Leon,Italia,3
20/06/2025,Quintana Roo,Argentina,1
20/06/2025,Quintana Roo,Chile,1
20/06/2025,Quintana Roo,Colombia,8
20/06/2025,Quintana Roo,Costa Rica,1
20/06/2025,Quintana Roo,Estados Unidos de América,3
21/06/2025,Baja California,Estados Unidos de América,16
21/06/2025,Ciudad de México,Argentina,1
21/06/2025,Ciudad de México,Brasil,1
21/06/2025,Ciudad de México,Chile,1
21/06/2025,Ciudad de México,Colombia,13
21/06/2025,Ciudad de México,Myanmar,1
21/06/2025,Ciudad de México,Panamá,2
21/06/2025,Ciudad de México,República Bolivariana de Venezuela,2
21/06/2025,Coahuila,Estados Unidos de América,1
21/06/2025,Estado de México,Colombia,3
21/06/2025,Estado de México,España,1
21/06/2025,Jalisco,Argentina,1
21/06/2025,Jalisco,Colombia,2
21/06/2025,Jalisco,Estados Unidos de América,1
21/06/2025,Nuevo Leon,Brasil,1
21/06/2025,Nuevo Leon,Cuba,2
21/06/2025,Nuevo Leon,España,1
21/06/2025,Nuevo Leon,Estados Unidos de América,1
21/06/2025,Quintana Roo,Armenia,1
21/06/2025,Quintana Roo,Brasil,3
21/06/2025,Quintana Roo,Colombia,6
21/06/2025,Quintana Roo,Estado Plurinacional de Bolivia,1
21/06/2025,Quintana Roo,Estados Unidos de América,2
21/06/2025,Quintana Roo,Turquía,2
22/06/2025,Baja California,Estados Unidos de América,26
22/06/2025,Chiapas,Guatemala,1
22/06/2025,Ciudad de México,Argentina,1
22/06/2025,Ciudad de México,China,3
22/06/2025,Ciudad de México,Colombia,16
22/06/2025,Ciudad de México,El Salvador,1
22/06/2025,Ciudad de México,Francia,1
22/06/2025,Ciudad de México,Italia,1
22/06/2025,Estado de México,Argentina,2
22/06/2025,Estado de México,Colombia,1
22/06/2025,Estado de México,España,1
22/06/2025,Jalisco,Colombia,3
22/06/2025,Nuevo Leon,Estados Unidos de América,1
22/06/2025,Quintana Roo,Brasil,1
22/06/2025,Quintana Roo,Colombia,28
22/06/2025,Quintana Roo,El Salvador,2
22/06/2025,Quintana Roo,Eslovaquia,1
22/06/2025,Quintana Roo,Estados Unidos de América,2
22/06/2025,Quintana Roo,Jamaica,1
22/06/2025,Quintana Roo,Nigeria,5
22/06/2025,Quintana Roo,Ucrania,3
23/06/2025,Baja California,Estados Unidos de América,15
23/06/2025,Ciudad de México,China,1
23/06/2025,Ciudad de México,Colombia,12
23/06/2025,Ciudad de México,Ecuador,1
23/06/2025,Ciudad de México,Estados Unidos de América,1
23/06/2025,Ciudad de México,Guatemala,5
23/06/2025,Ciudad de México,Honduras,1
23/06/2025,Ciudad de México,Panamá,1
23/06/2025,Nuevo Leon,China,2
23/06/2025,Nuevo Leon,Colombia,1
23/06/2025,Nuevo Leon,Eslovaquia,6
23/06/2025,Nuevo Leon,Estados Unidos de América,1
23/06/2025,Quintana Roo,Colombia,3
23/06/2025,Quintana Roo,Estados Unidos de América,1
23/06/2025,Quintana Roo,Pakistán,1
23/06/2025,Quintana Roo,Ucrania,2
24/06/2025,Baja California Sur,Estados Unidos de América,1
24/06/2025,Baja California,Estados Unidos de América,37
24/06/2025,Ciudad de México,Argentina,2
24/06/2025,Ciudad de México,China,2
24/06/2025,Ciudad de México,Colombia,14
24/06/2025,Ciudad de México,Estado Plurinacional de Bolivia,2
24/06/2025,Ciudad de México,Guatemala,1
24/06/2025,Estado de México,Colombia,5
24/06/2025,Estado de México,Cuba,2
24/06/2025,Nuevo Leon,Italia,7
24/06/2025,Quintana Roo,Argentina,1
24/06/2025,Quintana Roo,Canadá,1
24/06/2025,Quintana Roo,Colombia,6
24/06/2025,Quintana Roo,España,1
24/06/2025,Quintana Roo,Estados Unidos de América,4
24/06/2025,Quintana Roo,Federación De Rusia,2
24/06/2025,Quintana Roo,Honduras,4
24/06/2025,Quintana Roo,Paraguay,1
24/06/2025,Quintana Roo,República Islámica del Irán,1
24/06/2025,Quintana Roo,Trinidad y Tobago,1
25/06/2025,Aguascalientes,Estados Unidos de América,1
25/06/2025,Baja California,Estados Unidos de América,27
25/06/2025,Chiapas,Guatemala,1
25/06/2025,Ciudad de México,Argentina,2
25/06/2025,Ciudad de México,Colombia,19
25/06/2025,Ciudad de México,Costa Rica,2
25/06/2025,Ciudad de México,Cuba,2
