DIA,ESTADO / O.R.,NACIONALIDAD,RETORNADOS A SU PAÍS,DEPORTADOS,RETORNOS ASISTIDOS
14/12/2024,Chiapas,Ecuador,2,0,2
14/12/2024,Chiapas,El Salvador,1,0,1
16/12/2024,Chiapas,Colombia,2,0,2
16/12/2024,Chiapas,Honduras,21,0,21
16/12/2024,Tabasco,Colombia,1,1,0
16/12/2024,Tamaulipas,Estados Unidos de América,1,0,1
17/12/2024,Chiapas,Colombia,2,0,2
17/12/2024,Ciudad de México,Estados Unidos de América,1,0,1
17/12/2024,Ciudad de México,Honduras,1,0,1
17/12/2024,Tabasco,Colombia,8,8,0
17/12/2024,Tabasco,Guatemala,12,0,12
17/12/2024,Tabasco,Honduras,19,0,19
18/12/2024,Chiapas,Guatemala,5,0,5
18/12/2024,Chiapas,Honduras,17,0,17
18/12/2024,Ciudad de México,Colombia,1,0,1
18/12/2024,Ciudad de México,Guatemala,62,0,62
19/12/2024,Chiapas,Guatemala,1,0,1
19/12/2024,Chiapas,Honduras,40,0,40
19/12/2024,Ciudad de México,Ecuador,2,0,2
19/12/2024,Ciudad de México,Honduras,4,0,4
20/12/2024,Chiapas,Brasil,1,0,1
20/12/2024,Chiapas,Colombia,2,0,2
20/12/2024,Chiapas,Ecuador,2,0,2
20/12/2024,Chiapas,Guatemala,21,0,21
20/12/2024,Ciudad de México,Honduras,1,0,1
20/12/2024,Tabasco,Colombia,1,1,0
20/12/2024,Tabasco,Guatemala,1,0,1
20/12/2024,Veracruz,El Salvador,1,1,0
20/12/2024,Veracruz,Guatemala,16,0,16
20/12/2024,Veracruz,Honduras,5,0,5
21/12/2024,Ciudad de México,Honduras,1,0,1
21/12/2024,Veracruz,Guatemala,9,0,9
21/12/2024,Veracruz,Honduras,8,0,8
21/12/2024,Veracruz,Nicaragua,1,0,1
22/12/2024,Chiapas,Ecuador,1,0,1
22/12/2024,Ciudad de México,Colombia,1,0,1
23/12/2024,Chiapas,Cuba,1,0,1
23/12/2024,Chiapas,Guatemala,17,0,17
23/12/2024,San Luis Potosí,Guatemala,1,1,0
23/12/2024,Tabasco,Guatemala,19,6,13
23/12/2024,Tabasco,Honduras,16,0,16
24/12/2024,Ciudad de México,Ecuador,1,0,1
24/12/2024,Ciudad de México,República Bolivariana de Venezuela,4,0,4
26/12/2024,Chiapas,Ecuador,2,0,2
26/12/2024,Ciudad de México,Honduras,1,1,0
26/12/2024,Ciudad de México,República Bolivariana de Venezuela,9,0,9
27/12/2024,Ciudad de México,El Salvador,1,0,1
